index_24,x,y
1,-9,21
2,-3,21
3,3,21
4,9,21
5,-15,15
6,-9,15
7,-3,15
8,3,15
9,9,15
10,15,15
11,-21,9
12,-15,9
13,-9,9
14,-3,9
15,3,9
16,9,9
17,15,9
18,21,9
19,-27,3
20,-21,3
21,-15,3
22,-9,3
23,-3,3
24,3,3
25,9,3
26,15,3
27,21,3
28,-27,-3
29,-21,-3
30,-15,-3
31,-9,-3
32,-3,-3
33,3,-3
34,9,-3
35,15,-3
36,21,-3
37,-21,-9
38,-15,-9
39,-9,-9
40,-3,-9
41,3,-9
42,9,-9
43,15,-9
44,21,-9
45,-15,-15
46,-9,-15
47,-3,-15
48,3,-15
49,9,-15
50,15,-15
51,-9,-21
52,-3,-21
53,3,-21
54,9,-21
